SeqID	crossvalidated_tax
Stackebrandtia_albiflava_DQ985165_TS;tax=d_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micromonosporales,f_Micromonosporaceae,g_Stackebrandtia,s_Stackebrandtia_albiflava;	Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Stackebrandtia;Stackebrandtia albiflava
Stackebrandtia_nassauensis_AM982657;tax=d_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micromonosporales,f_Micromonosporaceae,g_Stackebrandtia,s_Stackebrandtia_nassauensis;	Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Stackebrandtia;Stackebrandtia nassauensis
Stackebrandtia_nassauensis_AY650268_TS;tax=d_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micromonosporales,f_Micromonosporaceae,g_Stackebrandtia,s_Stackebrandtia_nassauensis;	Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Stackebrandtia;Stackebrandtia nassauensis
Stackebrandtia_nassauensis_JF155032;tax=d_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micromonosporales,f_Micromonosporaceae,g_Stackebrandtia,s_Stackebrandtia_nassauensis;	Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Stackebrandtia;Stackebrandtia nassauensis
Staphylococcus_agnetis_HM484980_TS;tax=d_Bacteria,p_Firmicutes,c_Bacilli,o_Bacillales,f_Staphylococcaceae,g_Staphylococcus,s_Staphylococcus_agnetis;	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;[amb]Staphylococcus agnetis
Staphylococcus_arlettae_AB009933_TS;tax=d_Bacteria,p_Firmicutes,c_Bacilli,o_Bacillales,f_Staphylococcaceae,g_Staphylococcus,s_Staphylococcus_arlettae;	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;[amb]Staphylococcus arlettae
Staphylococcus_aureus_AM990992;tax=d_Bacteria,p_Firmicutes,c_Bacilli,o_Bacillales,f_Staphylococcaceae,g_Staphylococcus,s_Staphylococcus_aureus;	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;[amb]Staphylococcus aureus
Streptobacillus_hongkongensis_HM255715;tax=d_Bacteria,p_Fusobacteria,c_Fusobacteriia,o_Fusobacteriales,f_Leptotrichiaceae,g_Streptobacillus,s_Streptobacillus_hongkongensis;	Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Streptobacillus;Streptobacillus hongkongensis
Streptobacillus_hongkongensis_JQ087389_TS;tax=d_Bacteria,p_Fusobacteria,c_Fusobacteriia,o_Fusobacteriales,f_Leptotrichiaceae,g_Streptobacillus,s_Streptobacillus_hongkongensis;	Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Streptobacillus;Streptobacillus hongkongensis
Streptobacillus_moniliformis_CP001779_TS;tax=d_Bacteria,p_Fusobacteria,c_Fusobacteriia,o_Fusobacteriales,f_Leptotrichiaceae,g_Streptobacillus,s_Streptobacillus_moniliformis;	Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Streptobacillus;Streptobacillus moniliformis
